iter	MultiClass
0	0.6255362851
1	0.512326356
2	0.4623940541
3	0.4402492158
4	0.429093055
5	0.4214193094
6	0.4131470835
7	0.4075941207
8	0.4043298017
9	0.4029465811
10	0.4007837553
11	0.3996396221
12	0.3983113315
13	0.3975450689
14	0.3969995852
15	0.3959228227
16	0.3951914596
17	0.3948585975
18	0.3944490553
19	0.3931443877
20	0.3923173717
21	0.3918871011
22	0.3914007403
23	0.3910797833
24	0.3908016739
25	0.3904354168
26	0.3902823536
27	0.389980454
28	0.3896998037
29	0.3891121105
30	0.3883919577
31	0.388282246
32	0.3878222113
33	0.387731504
34	0.387109173
35	0.3869929396
36	0.3868361657
37	0.3867742693
38	0.3865202594
39	0.38558811
40	0.3854224272
41	0.3853393439
42	0.3851145347
43	0.3847550396
44	0.3845228145
45	0.3842619858
46	0.3840780477
47	0.3839061575
48	0.3837031481
49	0.3833954876
50	0.3829052167
51	0.3828280607
52	0.3827110868
53	0.3826084236
54	0.3823057861
55	0.3822398959
56	0.3821151889
57	0.3820309689
58	0.3819194476
59	0.3817266077
60	0.3815552702
61	0.3814017909
62	0.3812092902
63	0.381010987
64	0.3807716313
65	0.3807194679
66	0.3806325375
67	0.3804932679
68	0.380336348
69	0.3802423584
70	0.3800865243
71	0.3799299118
72	0.3798374244
73	0.3797923562
74	0.3795339052
75	0.379495223
76	0.3794284973
77	0.3793099682
78	0.3792012549
79	0.3790663632
80	0.3789698554
81	0.3789195775
82	0.378852954
83	0.3785672884
84	0.3785329597
85	0.3784003731
86	0.3782785832
87	0.3782059816
88	0.3780010331
89	0.3778521991
90	0.3777417653
91	0.3776596943
92	0.3776288077
93	0.3775544608
94	0.3774883062
95	0.3774008137
96	0.3773378468
97	0.3772546424
98	0.3771240302
99	0.3770115585
