iter	Passed	Remaining
0	186	18439
1	230	11283
2	308	9967
3	380	9124
4	423	8037
5	477	7482
6	591	7857
7	641	7371
8	684	6923
9	725	6532
10	772	6249
11	822	6029
12	891	5966
13	943	5798
14	1001	5672
15	1047	5500
16	1087	5310
17	1127	5136
18	1165	4970
19	1215	4860
20	1263	4753
21	1303	4620
22	1344	4502
23	1385	4388
24	1419	4257
25	1458	4152
26	1496	4045
27	1535	3948
28	1573	3852
29	1616	3771
30	1660	3696
31	1704	3622
32	1750	3554
33	1788	3472
34	1832	3402
35	1871	3326
36	1905	3245
37	1942	3169
38	1989	3112
39	2117	3175
40	2182	3141
41	2233	3084
42	2286	3030
43	2335	2972
44	2390	2921
45	2448	2874
46	2498	2817
47	2541	2753
48	2584	2689
49	2624	2624
50	2670	2566
51	2712	2503
52	2759	2446
53	2802	2387
54	2840	2323
55	2882	2264
56	2921	2204
57	2960	2143
58	3004	2088
59	3049	2033
60	3093	1977
61	3138	1923
62	3184	1870
63	3227	1815
64	3262	1756
65	3294	1697
66	3331	1641
67	3366	1584
68	3401	1528
69	3440	1474
70	3478	1420
71	3517	1367
72	3559	1316
73	3594	1262
74	3642	1214
75	3688	1164
76	3755	1121
77	3795	1070
78	3835	1019
79	3885	971
80	3926	921
81	3968	871
82	4011	821
83	4051	771
84	4089	721
85	4132	672
86	4169	623
87	4214	574
88	4250	525
89	4288	476
90	4324	427
91	4360	379
92	4397	330
93	4434	283
94	4471	235
95	4510	187
96	4554	140
97	4599	93
98	4641	46
99	4685	0
