iter	MultiClass
0	0.624447465
1	0.5113467926
2	0.4620763485
3	0.4385839076
4	0.4241872838
5	0.4168347781
6	0.4092896017
7	0.4048016458
8	0.4023843706
9	0.3995105435
10	0.3985751769
11	0.3974059396
12	0.3965964656
13	0.3959813423
14	0.3953035655
15	0.3944194482
16	0.39319186
17	0.3927664031
18	0.3920148959
19	0.3915453263
20	0.3913723227
21	0.3908891986
22	0.3906040785
23	0.3904120762
24	0.3889675802
25	0.3888880295
26	0.3885509002
27	0.3882602396
28	0.3873064171
29	0.3868626842
30	0.386719893
31	0.3864944344
32	0.3862509881
33	0.3860593076
34	0.3856532675
35	0.3853761085
36	0.3851573032
37	0.3850219392
38	0.3848972934
39	0.3846219642
40	0.3843675256
41	0.3842921969
42	0.3842180849
43	0.3840845412
44	0.3839621495
45	0.3837284649
46	0.3835574087
47	0.3833257549
48	0.3827321862
49	0.3825317741
50	0.3823926718
51	0.3820789759
52	0.3818611822
53	0.3817803203
54	0.3817192932
55	0.381600964
56	0.3814245193
57	0.3813308313
58	0.3812194014
59	0.3810055506
60	0.3809496905
61	0.3808168737
62	0.3807442583
63	0.3806993402
64	0.380570768
65	0.3803422496
66	0.3802901336
67	0.3802175741
68	0.3799709645
69	0.3798392237
70	0.3797272489
71	0.3796874439
72	0.3796536622
73	0.3793172148
74	0.379243647
75	0.3791650129
76	0.3790678836
77	0.3789968724
78	0.3789043532
79	0.3786137954
80	0.3785663347
81	0.3785258854
82	0.3784620974
83	0.3783801704
84	0.3781880227
85	0.3781171321
86	0.3780730013
87	0.3779062901
88	0.3777298532
89	0.3776096295
90	0.3775315172
91	0.3773945642
92	0.377306824
93	0.3772482575
94	0.3771421426
95	0.3770761691
96	0.376992624
97	0.3769234685
98	0.3768087117
99	0.3767685373
