iter	Passed	Remaining
0	57	5677
1	104	5141
2	151	4894
3	198	4756
4	249	4739
5	296	4641
6	340	4520
7	387	4450
8	433	4378
9	484	4363
10	532	4304
11	590	4333
12	651	4361
13	698	4289
14	747	4234
15	800	4200
16	849	4147
17	897	4087
18	947	4039
19	1006	4024
20	1066	4011
21	1113	3948
22	1162	3891
23	1207	3822
24	1254	3764
25	1300	3701
26	1348	3645
27	1388	3571
28	1436	3516
29	1487	3471
30	1532	3411
31	1583	3365
32	1632	3314
33	1678	3259
34	1731	3216
35	1778	3162
36	1822	3102
37	1866	3045
38	1912	2992
39	1964	2946
40	2012	2896
41	2057	2840
42	2100	2784
43	2147	2733
44	2194	2681
45	2238	2627
46	2281	2572
47	2325	2519
48	2378	2475
49	2428	2428
50	2478	2381
51	2528	2334
52	2578	2286
53	2622	2234
54	2668	2183
55	2711	2130
56	2761	2083
57	2808	2033
58	2906	2020
59	2986	1991
60	3033	1939
61	3081	1888
62	3128	1837
63	3175	1786
64	3223	1735
65	3274	1686
66	3317	1634
67	3362	1582
68	3410	1532
69	3452	1479
70	3499	1429
71	3544	1378
72	3592	1328
73	3645	1280
74	3705	1235
75	3751	1184
76	3800	1135
77	3847	1085
78	3898	1036
79	3948	987
80	3996	937
81	4040	886
82	4090	837
83	4134	787
84	4183	738
85	4230	688
86	4279	639
87	4331	590
88	4384	541
89	4431	492
90	4476	442
91	4524	393
92	4570	344
93	4614	294
94	4660	245
95	4724	196
96	4775	147
97	4824	98
98	4878	49
99	4928	0
